Port,Protocol,Service,Description,Risk,Category,Recommendation
0,tcp,Unknown,Reserved,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
0,udp,Unknown,Reserved,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1,tcp,tcpmux,TCP Port Service Multiplexer,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1,udp,tcpmux,TCP Port Service Multiplexer,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2,tcp,Unknown,Reserved,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2,udp,Unknown,Reserved,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3,tcp,Unknown,Reserved,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3,udp,Unknown,Reserved,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
4,tcp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
4,udp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
5,tcp,rje,Remote Job Entry,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
5,udp,rje,Remote Job Entry,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
6,tcp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
6,udp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
7,tcp,echo,Echo,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
7,udp,echo,Echo,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
8,tcp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
8,udp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
9,tcp,discard,Discard,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
9,udp,discard,Discard,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
9,sctp,discard,Discard,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
9,dccp,discard,Discard,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
10,tcp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
10,udp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
11,tcp,systat,Active Users,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
11,udp,systat,Active Users,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
12,tcp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
12,udp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
13,tcp,daytime,Daytime,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
13,udp,daytime,Daytime,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
14,tcp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
14,udp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
15,tcp,Unknown,Unassigned [was netstat],LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
15,udp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
16,tcp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
16,udp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
17,tcp,qotd,Quote of the Day,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
17,udp,qotd,Quote of the Day,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
18,tcp,msp,Message Send Protocol (historic),LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
18,udp,msp,Message Send Protocol (historic),LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
19,tcp,chargen,Character Generator,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
